"ID","NAME","ADD_TIME","SOURCE_TABLE"
"1292052","肖申克的救赎","Fri Jan  5 11:35:04 2018","movie"
"1292720","阿甘正传","Fri Jan  5 11:35:04 2018","movie"
"3541415","盗梦空间","Fri Jan  5 11:35:04 2018","movie"
"1292722","泰坦尼克号","Fri Jan  5 11:35:04 2018","movie"
"1292001","海上钢琴师","Fri Jan  5 11:35:04 2018","movie"
"1849031","当幸福来敲门","Fri Jan  5 11:35:04 2018","movie"
"3319755","怦然心动","Fri Jan  5 11:35:04 2018","movie"
"1292370","剪刀手爱德华","Fri Jan  5 11:35:04 2018","movie"
"1292064","楚门的世界","Fri Jan  5 11:35:05 2018","movie"
"1292223","七宗罪","Fri Jan  5 11:35:05 2018","movie"
"25662329","疯狂动物城","Fri Jan  5 11:35:05 2018","movie"
"1293839","罗马假日","Fri Jan  5 11:35:05 2018","movie"
"1309046","V字仇杀队","Fri Jan  5 11:35:05 2018","movie"
"1978709","黑天鹅","Fri Jan  5 11:35:05 2018","movie"
"1295124","辛德勒的名单","Fri Jan  5 11:35:05 2018","movie"
"2209573","贫民窟的百万富翁","Fri Jan  5 11:35:05 2018","movie"
"1292343","蝴蝶效应","Fri Jan  5 11:35:05 2018","movie"
"3075287","源代码","Fri Jan  5 11:35:05 2018","movie"
"1293544","沉默的羔羊","Fri Jan  5 11:35:05 2018","movie"
"1291841","教父","Fri Jan  5 11:35:05 2018","movie"
"1292402","西西里的美丽传说","Fri Jan  5 11:35:06 2018","movie"
"1298070","加勒比海盗","Fri Jan  5 11:35:06 2018","movie"
"6786002","触不可及","Fri Jan  5 11:35:07 2018","movie"
"2334904","禁闭岛","Fri Jan  5 11:35:07 2018","movie"
"1907966","疯狂原始人","Fri Jan  5 11:35:07 2018","movie"
"1291832","低俗小说","Fri Jan  5 11:35:07 2018","movie"
"1298624","闻香识女人","Fri Jan  5 11:35:07 2018","movie"
"1482072","穿普拉达的女王","Fri Jan  5 11:35:07 2018","movie"
